,edges,infection_time
516,262.0 (interacts with) 66.0,-1
517,262.0 (interacts with) 358.0,-1
518,262.0 (interacts with) 299.0,-1
519,262.0 (interacts with) 86.0,-1
520,167.0 (interacts with) 52.0,3
521,342.0 (interacts with) 42.0,-1
522,342.0 (interacts with) 277.0,9
523,377.0 (interacts with) 56.0,10
524,150.0 (interacts with) 285.0,-1
525,150.0 (interacts with) 151.0,10
526,150.0 (interacts with) 270.0,-1
527,150.0 (interacts with) 293.0,10
528,150.0 (interacts with) 294.0,10
529,150.0 (interacts with) 132.0,-1
530,45.0 (interacts with) 46.0,9
531,45.0 (interacts with) 263.0,-1
532,45.0 (interacts with) 345.0,9
533,45.0 (interacts with) 223.0,9
534,45.0 (interacts with) 84.0,8
535,45.0 (interacts with) 162.0,9
536,46.0 (interacts with) 155.0,10
537,46.0 (interacts with) 68.0,10
538,46.0 (interacts with) 24.0,10
539,46.0 (interacts with) 220.0,10
540,46.0 (interacts with) 247.0,9
541,263.0 (interacts with) 220.0,-1
542,263.0 (interacts with) 40.0,-1
543,263.0 (interacts with) 88.0,-1
544,263.0 (interacts with) 186.0,10
545,345.0 (interacts with) 18.0,-1
546,223.0 (interacts with) 212.0,9
547,84.0 (interacts with) 58.0,8
548,84.0 (interacts with) 125.0,7
549,84.0 (interacts with) 82.0,8
550,162.0 (interacts with) 161.0,-1
551,155.0 (interacts with) 26.0,-1
552,155.0 (interacts with) 348.0,-1
553,155.0 (interacts with) 352.0,-1
554,155.0 (interacts with) 91.0,-1
555,68.0 (interacts with) 140.0,10
556,24.0 (interacts with) 23.0,-1
557,24.0 (interacts with) 79.0,10
558,24.0 (interacts with) 375.0,-1
559,24.0 (interacts with) 305.0,11
560,220.0 (interacts with) 10.0,-1
561,220.0 (interacts with) 23.0,-1
562,247.0 (interacts with) 42.0,8
563,165.0 (interacts with) 166.0,11
564,165.0 (interacts with) 70.0,10
565,165.0 (interacts with) 23.0,-1
566,65.0 (interacts with) 231.0,7
567,65.0 (interacts with) 62.0,-1
568,65.0 (interacts with) 265.0,-1
569,65.0 (interacts with) 300.0,8
570,65.0 (interacts with) 256.0,-1
571,65.0 (interacts with) 248.0,-1
572,65.0 (interacts with) 351.0,8
573,65.0 (interacts with) 70.0,-1
574,334.0 (interacts with) 32.0,-1
575,334.0 (interacts with) 188.0,10
576,334.0 (interacts with) 80.0,10
577,235.0 (interacts with) 231.0,-1
578,81.0 (interacts with) 128.0,-1
579,81.0 (interacts with) 244.0,7
580,81.0 (interacts with) 122.0,6
581,81.0 (interacts with) 123.0,-1
582,81.0 (interacts with) 309.0,7
583,166.0 (interacts with) 42.0,-1
584,166.0 (interacts with) 82.0,-1
585,303.0 (interacts with) 9.0,2
586,303.0 (interacts with) 52.0,2
587,303.0 (interacts with) 316.0,-1
588,303.0 (interacts with) 72.0,-1
589,303.0 (interacts with) 379.0,-1
590,303.0 (interacts with) 327.0,-1
591,314.0 (interacts with) 122.0,-1
592,314.0 (interacts with) 232.0,8
593,314.0 (interacts with) 23.0,7
594,127.0 (interacts with) 128.0,-1
595,127.0 (interacts with) 183.0,-1
596,127.0 (interacts with) 35.0,2
597,356.0 (interacts with) 191.0,-1
598,356.0 (interacts with) 357.0,-1
599,356.0 (interacts with) 215.0,4
600,356.0 (interacts with) 206.0,-1
601,128.0 (interacts with) 310.0,9
602,128.0 (interacts with) 210.0,9
603,128.0 (interacts with) 234.0,8
604,128.0 (interacts with) 257.0,8
605,128.0 (interacts with) 66.0,-1
606,183.0 (interacts with) 10.0,11
607,35.0 (interacts with) 32.0,2
608,35.0 (interacts with) 219.0,-1
609,35.0 (interacts with) 194.0,-1
610,310.0 (interacts with) 62.0,-1
611,310.0 (interacts with) 169.0,-1
612,210.0 (interacts with) 277.0,9
613,210.0 (interacts with) 102.0,10
614,210.0 (interacts with) 99.0,9
615,234.0 (interacts with) 199.0,-1
616,234.0 (interacts with) 231.0,7
617,257.0 (interacts with) 231.0,7
618,257.0 (interacts with) 239.0,-1
619,66.0 (interacts with) 102.0,-1
620,66.0 (interacts with) 73.0,-1
621,32.0 (interacts with) 33.0,-1
622,32.0 (interacts with) 30.0,2
623,32.0 (interacts with) 218.0,2
624,32.0 (interacts with) 307.0,-1
625,32.0 (interacts with) 369.0,-1
626,32.0 (interacts with) 370.0,-1
627,32.0 (interacts with) 224.0,-1
628,32.0 (interacts with) 219.0,-1
629,32.0 (interacts with) 308.0,2
630,32.0 (interacts with) 338.0,2
631,42.0 (interacts with) 261.0,8
632,42.0 (interacts with) 41.0,-1
633,42.0 (interacts with) 43.0,-1
634,42.0 (interacts with) 243.0,7
635,42.0 (interacts with) 276.0,8
636,42.0 (interacts with) 290.0,-1
637,26.0 (interacts with) 231.0,6
638,26.0 (interacts with) 25.0,6
639,26.0 (interacts with) 27.0,6
640,26.0 (interacts with) 124.0,-1
641,26.0 (interacts with) 197.0,-1
642,26.0 (interacts with) 198.0,-1
643,26.0 (interacts with) 273.0,6
644,26.0 (interacts with) 306.0,-1
645,26.0 (interacts with) 317.0,-1
646,26.0 (interacts with) 301.0,-1
647,26.0 (interacts with) 252.0,-1
648,26.0 (interacts with) 362.0,-1
649,26.0 (interacts with) 31.0,-1
650,26.0 (interacts with) 115.0,6
651,26.0 (interacts with) 358.0,5
652,26.0 (interacts with) 161.0,6
653,26.0 (interacts with) 38.0,-1
654,26.0 (interacts with) 347.0,-1
655,26.0 (interacts with) 272.0,6
656,97.0 (interacts with) 100.0,10
657,97.0 (interacts with) 88.0,9
658,97.0 (interacts with) 93.0,-1
659,97.0 (interacts with) 96.0,9
660,97.0 (interacts with) 99.0,9
661,97.0 (interacts with) 211.0,-1
662,70.0 (interacts with) 237.0,10
663,70.0 (interacts with) 69.0,-1
664,70.0 (interacts with) 278.0,-1
665,70.0 (interacts with) 295.0,-1
666,70.0 (interacts with) 182.0,-1
667,70.0 (interacts with) 75.0,9
668,70.0 (interacts with) 379.0,9
669,70.0 (interacts with) 294.0,10
670,70.0 (interacts with) 168.0,10
671,70.0 (interacts with) 260.0,-1
672,70.0 (interacts with) 80.0,10
673,23.0 (interacts with) 50.0,-1
674,23.0 (interacts with) 168.0,-1
675,23.0 (interacts with) 327.0,-1
676,23.0 (interacts with) 43.0,7
677,23.0 (interacts with) 329.0,6
678,82.0 (interacts with) 140.0,9
679,82.0 (interacts with) 85.0,-1
680,82.0 (interacts with) 88.0,-1
681,82.0 (interacts with) 184.0,-1
682,82.0 (interacts with) 96.0,-1
683,204.0 (interacts with) 245.0,9
684,204.0 (interacts with) 295.0,9
685,204.0 (interacts with) 52.0,-1
686,204.0 (interacts with) 8.0,-1
687,184.0 (interacts with) 243.0,-1
688,184.0 (interacts with) 309.0,8
689,270.0 (interacts with) 33.0,-1
690,270.0 (interacts with) 31.0,-1
691,270.0 (interacts with) 280.0,-1
692,101.0 (interacts with) 18.0,-1
693,101.0 (interacts with) 102.0,-1
694,101.0 (interacts with) 103.0,11
695,101.0 (interacts with) 246.0,10
696,122.0 (interacts with) 278.0,-1
697,122.0 (interacts with) 106.0,-1
698,122.0 (interacts with) 186.0,-1
699,232.0 (interacts with) 69.0,9
700,232.0 (interacts with) 102.0,-1
701,232.0 (interacts with) 233.0,-1
702,232.0 (interacts with) 116.0,9
703,353.0 (interacts with) 94.0,8
704,353.0 (interacts with) 207.0,9
705,60.0 (interacts with) 7.0,11
706,60.0 (interacts with) 357.0,11
707,60.0 (interacts with) 359.0,11
708,199.0 (interacts with) 258.0,8
709,199.0 (interacts with) 205.0,8
710,258.0 (interacts with) 56.0,9
711,258.0 (interacts with) 38.0,-1
712,258.0 (interacts with) 333.0,9
713,205.0 (interacts with) 169.0,9
714,18.0 (interacts with) 6.0,-1
