"","infection_time","interaction","name","selected","shared interaction","shared name"
"833","-1","interacts with","97.0 (interacts with) 99.0","false","interacts with","97.0 (interacts with) 99.0"
"832","-1","interacts with","97.0 (interacts with) 96.0","false","interacts with","97.0 (interacts with) 96.0"
"831","-1","interacts with","97.0 (interacts with) 110.0","false","interacts with","97.0 (interacts with) 110.0"
"838","-1","interacts with","96.0 (interacts with) 292.0","false","interacts with","96.0 (interacts with) 292.0"
"837","-1","interacts with","96.0 (interacts with) 246.0","false","interacts with","96.0 (interacts with) 246.0"
"836","-1","interacts with","96.0 (interacts with) 141.0","false","interacts with","96.0 (interacts with) 141.0"
"835","-1","interacts with","96.0 (interacts with) 84.0","false","interacts with","96.0 (interacts with) 84.0"
"804","-1","interacts with","94.0 (interacts with) 99.0","false","interacts with","94.0 (interacts with) 99.0"
"803","-1","interacts with","94.0 (interacts with) 97.0","false","interacts with","94.0 (interacts with) 97.0"
"802","-1","interacts with","94.0 (interacts with) 181.0","false","interacts with","94.0 (interacts with) 181.0"
"801","-1","interacts with","94.0 (interacts with) 304.0","false","interacts with","94.0 (interacts with) 304.0"
"581","-1","interacts with","114.0 (interacts with) 186.0","false","interacts with","114.0 (interacts with) 186.0"
"580","-1","interacts with","114.0 (interacts with) 134.0","false","interacts with","114.0 (interacts with) 134.0"
"579","-1","interacts with","114.0 (interacts with) 117.0","false","interacts with","114.0 (interacts with) 117.0"
"578","-1","interacts with","114.0 (interacts with) 172.0","false","interacts with","114.0 (interacts with) 172.0"
"877","-1","interacts with","241.0 (interacts with) 321.0","false","interacts with","241.0 (interacts with) 321.0"
"703","-1","interacts with","108.0 (interacts with) 133.0","false","interacts with","108.0 (interacts with) 133.0"
"702","-1","interacts with","108.0 (interacts with) 107.0","false","interacts with","108.0 (interacts with) 107.0"
"701","-1","interacts with","108.0 (interacts with) 172.0","false","interacts with","108.0 (interacts with) 172.0"
"736","-1","interacts with","212.0 (interacts with) 213.0","false","interacts with","212.0 (interacts with) 213.0"
"735","-1","interacts with","212.0 (interacts with) 210.0","false","interacts with","212.0 (interacts with) 210.0"
